totim,api,chd,drn,in-out,percent-discrepancy,sto-ss,sto-sy,total,wel
1.0,0.0,-4.2600057e-10,0.0,-4.2649e-10,-2.08,0.0,0.0,-4.2600057e-10,0.0
11.0,0.0,-4.2600057e-10,0.0,-1.3797e-09,-0.0,1.2847,2698.7153,0.0,-2700.0
21.0,2700.0,-4.2600057e-10,0.0,-1.7199e-09,-0.0,1.1039,2698.896,0.0,-5400.0
31.0,5400.0,-4.2600057e-10,0.0,-4.5275e-09,-0.0,0.8327,2699.1675,0.0,-8100.0
41.0,8100.0,-4.2600057e-10,-3.5927e-06,5.7225e-09,0.0,0.5298002,2699.4702,0.0,-10800.0
51.0,10800.0,-4.2600057e-10,-7.5724e-06,1.8557e-08,0.0,0.2553997,2699.745,0.0,-13500.0
61.0,13500.0,-4.2600057e-10,-1.1653e-05,3.2713e-08,0.0,-0.04250002,2700.043,0.0,-16200.0
71.0,16200.0,-4.2600057e-10,-1.5656e-05,4.7829e-08,0.0,-0.3512001,2700.3506,0.0,-18900.0
81.0,18900.0,-4.2600057e-10,-1.9457e-05,6.3454e-08,0.0,-0.6622,2700.663,0.0,-21600.0
91.0,20967.75,-4.2600057e-10,-2.3441e-05,3.7129e-08,0.0,-0.6264,3332.877,0.0,-24300.0
101.0,22708.29,-4.2600057e-10,-2.7093e-05,1.0943e-08,0.0,-0.40619946,4292.117,0.0,-27000.0
111.0,24478.34,-4.2600057e-10,-3.2071e-05,-1.6778e-08,-0.0,-0.19610023,5221.8574,0.0,-29700.0
121.0,26276.453,-4.2600057e-10,-3.5884e-05,-4.3212e-08,-0.0,0.0048999786,6123.541,0.0,-32400.0
131.0,28101.49,-4.2600057e-10,-4.0026e-05,-7.0024e-08,-0.0,0.19789982,6998.3125,0.0,-35100.0
141.0,29929.674,-4.2600057e-10,-4.1174e-05,-1.2341e-07,-0.0,0.39560032,7869.9297,0.0,-37800.0
151.0,31708.355,-4.2600057e-10,-4.2723e-05,-1.7251e-07,-0.0,0.62669945,8791.02,0.0,-40500.0
161.0,33485.69,-4.2600057e-10,-4.44e-05,-2.1916e-07,-0.0,0.8642006,9713.445,0.0,-43200.0
171.0,35276.504,-4.2600057e-10,-4.5843e-05,-2.6551e-07,-0.0,1.0999002,10622.395,0.0,-45900.0
181.0,37082.223,-4.2600057e-10,-4.7593e-05,-3.0731e-07,-0.0,1.3329,11516.443,0.0,-48600.0
191.0,38903.9,-4.2600057e-10,-4.954e-05,-3.4612e-07,-0.0,1.5625,12394.539,0.0,-51300.0
201.0,40742.277,-4.2600057e-10,-5.2737e-05,-3.8208e-07,-0.0,1.7880001,13255.936,0.0,-54000.0
211.0,42597.85,-4.2600057e-10,-5.5875e-05,-4.153e-07,-0.0,2.0081997,14091.809,0.0,-56691.668
221.0,44470.793,-4.2600057e-10,-5.8952e-05,-4.4628e-07,-0.0,2.2127,14795.881,0.0,-59268.887
231.0,46360.92,-4.2600057e-10,-6.3715e-05,-4.7882e-07,-0.0,2.3985996,15372.205,0.0,-61735.523
241.0,48267.773,-4.2600057e-10,-6.7244e-05,-5.0907e-07,-0.0,2.5669003,15860.072,0.0,-64130.414
251.0,50190.688,-4.2600057e-10,-7.1012e-05,-5.396e-07,-0.0,2.7186995,16286.246,0.0,-66479.66
261.0,52128.875,-4.2600057e-10,-7.4907e-05,-5.7017e-07,-0.0,2.8554,16665.586,0.0,-68797.31
271.0,54081.465,-4.2600057e-10,-7.8868e-05,-6.0127e-07,-0.0,2.9781008,17006.424,0.0,-71090.87
281.0,56047.582,-4.2600057e-10,-8.2861e-05,-6.3215e-07,-0.0,3.0881004,17313.908,0.0,-73364.58
291.0,58026.34,-4.2600057e-10,-8.6883e-05,-6.6304e-07,-0.0,3.1863995,17591.652,0.0,-75621.18
301.0,60016.883,-4.2600057e-10,-9.0893e-05,-6.9394e-07,-0.0,3.2739992,17842.486,0.0,-77862.64
311.0,62018.4,-4.2600057e-10,-9.4885e-05,-7.2464e-07,-0.0,3.3516989,18068.773,0.0,-80090.52
321.0,64030.105,-4.2600057e-10,-9.8857e-05,-7.5532e-07,-0.0,3.4203005,18272.584,0.0,-82306.11
331.0,66051.28,-4.2600057e-10,-0.0001028,-7.8601e-07,-0.0,3.4807005,18455.756,0.0,-84510.516
341.0,68081.24,-4.2600057e-10,-0.00010673,-8.1681e-07,-0.0,3.5334997,18619.947,0.0,-86704.73
351.0,70119.37,-4.2600057e-10,-0.00011063,-8.4765e-07,-0.0,3.5791988,18766.643,0.0,-88889.586
361.0,72165.055,-4.2600057e-10,-0.00011449,-8.7828e-07,-0.0,3.6183004,18897.209,0.0,-91065.88
371.0,74217.77,-4.2600057e-10,-0.00011835,-9.0904e-07,-0.0,3.6517,19012.871,0.0,-93234.3
381.0,76277.02,-4.2600057e-10,-0.00012217,-9.3952e-07,-0.0,3.6794014,19114.758,0.0,-95395.46
