totim,api,chd,drn,in-out,percent-discrepancy,sto-ss,sto-sy,total,wel
1.0,0.0,-4.2600057e-10,0.0,-4.2649e-10,-2.08,0.0,0.0,-4.2600057e-10,0.0
11.0,0.0,0.0,0.0,-9.5383e-11,-0.0,0.1285,269.8715,0.0,-270.0
21.0,270.0,0.0,0.0,-3.4106e-11,-0.0,-0.018,0.018096924,0.0,-270.0
31.0,270.0,0.0,0.0,-2.8047e-10,-0.0,-0.027100004,0.027191162,0.0,-270.0
41.0,270.0,0.0,-3.5927e-07,1.0248e-09,0.0,-0.030244,0.030303955,0.0,-270.0
51.0,270.0,0.0,-3.9797e-07,1.2835e-09,0.0,-0.027403995,0.027389526,0.0,-270.0
61.0,270.0,0.0,-4.0808e-07,1.4156e-09,0.0,-0.029759005,0.029800415,0.0,-270.0
71.0,270.0,0.0,-4.0024e-07,1.5111e-09,0.0,-0.030919,0.030792236,0.0,-270.0
81.0,270.0,0.0,-3.8014e-07,1.5631e-09,0.0,-0.031112999,0.031097412,0.0,-270.0
91.0,206.775,0.0,-3.984e-07,-2.6319e-09,-0.0,0.0035840012,63.221504,0.0,-270.0
101.0,174.0541,0.0,-3.6525e-07,-2.6195e-09,-0.0,0.022021,95.924,0.0,-270.0
111.0,177.0049,0.0,-4.9772e-07,-2.7724e-09,-0.0,0.021001,92.974,0.0,-270.0
121.0,179.8115,0.0,-3.8133e-07,-2.6437e-09,-0.0,0.020108,90.1684,0.0,-270.0
131.0,182.5037,0.0,-4.1416e-07,-2.6807e-09,-0.0,0.019297,87.4771,0.0,-270.0
141.0,182.8183,0.0,-1.1489e-07,-5.3387e-09,-0.0,0.019781,87.1619,0.0,-270.0
151.0,177.8682,0.0,-1.548e-07,-4.9101e-09,-0.0,0.023100998,92.108696,0.0,-270.0
161.0,177.7336,0.0,-1.6777e-07,-4.6654e-09,-0.0,0.023750998,92.2427,0.0,-270.0
171.0,179.0813,0.0,-1.4433e-07,-4.6363e-09,-0.0,0.023572,90.895096,0.0,-270.0
181.0,180.572,0.0,-1.7497e-07,-4.1789e-09,-0.0,0.023297999,89.40469,0.0,-270.0
191.0,182.1676,0.0,-1.947e-07,-3.8816e-09,-0.0,0.022953002,87.809494,0.0,-270.0
201.0,183.8378,0.0,-3.1963e-07,-3.5961e-09,-0.0,0.022553,86.1396,0.0,-270.0
211.0,185.5576,0.0,-3.1384e-07,-3.322e-09,-0.0,0.022028001,83.587296,0.0,-269.1669
221.0,187.294,0.0,-3.0769e-07,-3.0976e-09,-0.0,0.020445,70.407295,0.0,-257.7218
231.0,189.0128,0.0,-4.7631e-07,-3.2547e-09,-0.0,0.018594999,57.6324,0.0,-246.6638
241.0,190.6854,0.0,-3.5291e-07,-3.0253e-09,-0.0,0.016825002,48.786602,0.0,-239.4889
251.0,192.2915,0.0,-3.7676e-07,-3.0524e-09,-0.0,0.015180001,42.617405,0.0,-234.9241
261.0,193.8184,0.0,-3.8953e-07,-3.0576e-09,-0.0,0.013665,37.934196,0.0,-231.7662
271.0,195.2592,0.0,-3.9609e-07,-3.1098e-09,-0.0,0.012274001,34.0838,0.0,-229.3553
